馬券種類,馬1,馬2,馬3,確率,確率順位,key,３連単オッズ,オッズ順位,期待値,期待値順位
三連単,15,8,12,0.0390%,565,15-8-12,200966.5,81,78.32170074,1
三連単,15,4,12,0.0522%,298,15-4-12,114838,268,59.907795,2
三連単,15,12,10,0.0168%,1726,15-12-10,327501,6,55.09167514,3
三連単,12,15,10,0.0140%,1992,12-15-10,353701,2,49.36254238,4
三連単,15,5,12,0.0470%,390,15-5-12,98250.3,354,46.21114589,5
三連単,12,15,8,0.0189%,1541,12-15-8,238987.2,39,45.19413916,6
三連単,15,12,8,0.0228%,1288,15-12-8,188138.8,103,42.88426418,7
三連単,12,5,10,0.0172%,1700,12-5-10,245625.7,34,42.18763637,8
三連単,4,15,12,0.0412%,518,4-15-12,98250.3,354,40.51674291,9
三連単,12,8,15,0.0158%,1813,12-8-15,238987.2,39,37.7942466,10
三連単,15,14,12,0.0450%,436,15-14-12,82640.4,439,37.17230384,11
三連単,12,9,8,0.0346%,695,12-9-8,106536.4,307,36.89144457,12
三連単,15,8,10,0.0294%,896,15-8-10,121130.5,252,35.66641824,13
三連単,12,14,8,0.0223%,1319,12-14-8,157902.2,160,35.14471536,14
三連単,15,9,12,0.0700%,114,15-9-12,49677.1,707,34.76474895,15
三連単,12,4,10,0.0191%,1528,12-4-10,180459.7,115,34.37767344,16
三連単,12,4,15,0.0212%,1367,12-4-15,160773.2,153,34.0332937,17
三連単,12,14,5,0.0275%,987,12-14-5,119493.6,257,32.83765605,18
三連単,12,15,4,0.0196%,1478,12-15-4,166840.1,140,32.65850236,19
三連単,12,4,8,0.0258%,1070,12-4-8,126321.8,230,32.60774768,20
三連単,12,9,10,0.0256%,1086,12-9-10,126321.8,230,32.28194579,21
三連単,15,12,5,0.0281%,955,15-12-5,113365.7,273,31.90486579,22
三連単,4,12,10,0.0182%,1617,4-12-10,170048.5,131,30.86626621,23
三連単,12,14,7,0.0299%,875,12-14-7,102820,324,30.74581422,24
三連単,15,12,4,0.0236%,1224,15-12-4,130037.1,221,30.68140298,25
三連単,15,10,12,0.0107%,2342,15-10-12,285242.8,12,30.6393057,26
三連単,4,14,12,0.0485%,361,4-14-12,60982.9,587,29.59873057,27
三連単,12,5,14,0.0236%,1223,12-5-14,121130.5,252,28.60281239,28
三連単,12,8,14,0.0196%,1480,12-8-14,142621.4,189,27.90522386,29
三連単,12,8,7,0.0259%,1066,12-8-7,104029.7,316,26.95237981,30
三連単,12,13,10,0.0235%,1228,12-13-10,113365.7,273,26.63431299,31
三連単,8,15,12,0.0155%,1836,8-15-12,170048.5,131,26.36594125,32
三連単,12,8,9,0.0250%,1117,12-8-9,105268.1,310,26.30647445,33
三連単,12,14,4,0.0230%,1266,12-14-4,113365.7,273,26.11811739,34
三連単,12,4,14,0.0262%,1048,12-4-14,99354.2,345,26.02114007,35
三連単,15,4,10,0.0394%,555,15-4-10,65500.2,546,25.81593675,36
三連単,12,15,5,0.0233%,1239,12-15-5,110531.5,286,25.80769374,37
三連単,12,15,14,0.0192%,1514,12-15-14,131978,216,25.32250198,38
三連単,12,7,10,0.0162%,1776,12-7-10,155132,168,25.18501189,39
三連単,10,15,12,0.0073%,2804,10-15-12,340097.1,3,24.91283708,40
三連単,12,8,5,0.0238%,1208,12-8-5,99354.2,345,23.65620679,41
三連単,4,12,8,0.0246%,1147,4-12-8,95080.9,369,23.3857241,42
三連単,15,12,14,0.0231%,1253,15-12-14,99354.2,345,22.97753399,43
三連単,15,12,17,0.0098%,2435,15-12-17,232698,46,22.90414559,44
三連単,12,15,9,0.0245%,1153,12-15-9,92109.6,381,22.57225853,45
三連単,15,12,9,0.0295%,890,15-12-9,76228.6,474,22.51646344,46
三連単,4,10,12,0.0116%,2223,4-10-12,192228.8,96,22.28027918,47
